Nombre,Especialidad,Temas,Modalidad_presencial,Modalidad_virtual,Link_cita
Daniel López,Psicólogo clínico con formación en ACT y formación en Terapia Sistémica.,Consejería orientación psicopedagógica en hábitos de estudio acompañamiento emocional entre otros.,SI,SI,
Gianella Guizado,Psicoterapeuta por el Instituto de Terapia Racional Emotiva.,Orientación y consejería procrastinación autocompasión ansiedad y estrés.,SI,SI,
Lisbeth Hernandez,Psicoterapeuta con formación en terapia racional emotiva y dialéctica conductual.,Consejería orientación psicopedagógica acompañamiento emocional entre otros.,SI,SI,
Kimberlyn Ñopo,Psicóloga orientada en el ámbito clínico educativo.,Consejería orientación y acompañamiento psicopedagógico y emocional y gestión del tiempo.,SI,SI,
Carol Vargas,Psicóloga y psicoterapeuta cognitiva conductual.,Acompañamiento psicopedagógica y emocional consejería y pautas para la dinámica de pareja.,SI,SI,
Andrea Mendoza,Psicóloga orientada en el ámbito clínico y educativo.,Psicopedagógicos y de acompañamiento emocional.,SI,SI,
