Pregunta,Respuesta,Categoria
"¿Cómo puedo sacar una cita con un psicólogo/psicóloga?","Debes ingresar aquí (botón de inscripción). Las sesiones duran 45 minutos y se realizan de manera virtual vía Meet","citas_psicologicas"
"¿Qué sucede si no asisto a la cita psicológica?","La tolerancia de espera es de 10 minutos, de lo contrario se considera como inasistencia. En caso no puedas asistir ten en cuenta que las reprogramaciones se realizan con un día de anticipación; estas también se ajustan a la disponibilidad de horarios de cada psicólogo.","citas_psicologicas"
"¿Qué trámites puedo solicitar con Bienestar Estudiantil?","Constancias/certificados de participación en programas. Constancias/certificados de capacitación.","tramites"
"¿A quiénes se brinda constancias de matrícula/notas cada semestre?","Según la modalidad de beca le corresponden solo a los alumnos becados de PRONABEC. Recibirán la constancia de matrícula después del cierre de matrícula del ciclo y la constancia de notas se les entregará después del cierre del ciclo. Se les hará llegar un enlace vía correo electrónico. Ambos documentos serán enviados a través del correo de Bienestar Estudiantil.","documentos"
"Si soy alumno becado ¿Cuáles son mis obligaciones con el Programa de Becas?","Si tienes una beca UTEC Beca Financiera (Integral y Académica) o Avanzando Juntos deberás cumplir con un 75% de asistencia a las actividades que programa Bienestar Estudiantil.","becas"
"¿Qué significa estar en riesgo Académico?","Cuando el alumno lleva uno o más cursos por tercera vez. Para ello Bienestar Estudiantil informa la situación académica a través del programa PARA.","academico"
"¿Cuáles son mis obligaciones como alumno en riesgo académico?","Asistir a mis mentorías académicas (mínimo 70% del total de mentorías). Asistir a mis entrevistas de seguimiento (2 durante el semestre). Consultas de alumnos en riesgo académico (ir al programa PARA).","academico"
"¿Cuántas organizaciones existen dónde las encuentro y cómo me inscribo?","Existen 40 organizaciones estudiantiles y puedes ubicarlas AQUÍ o en Discord AQUÍ. Una vez ingresada a la pestaña de organizaciones podrán darle click a la que más se asemeje a sus intereses y enviar un correo o seguirlo en redes sociales para comenzar el proceso de inscripción.","organizaciones"
